,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"شماره","خوشه","نام گروه","نام استاندارد","کد استاندارد قدیم","ISCO",,,,,,,,,,,,,,,"پیشنیاز","سطح تحصيلات ورودي","ساعت- نظری","ساعت-عملی","ساعت-کارورزی","ساعت-پروژه","ساعت کل","کارو دانش","نوع","نام استاندارد به لاتین","تاریخ تدوین و به روز رسانی"
,,,,,"نسخه","کد شایستگی",,,"کد شغل",,,"کد گروه",,,"سطح مهارت","کد ISCO",,,,,,,,,,,,,,
"27","فرهنگ و هنر","صنایع دستی(بافت)","سازنده كلاه نمدي (كلاه مالي)","7318-75-005-1","1","0","0","0","5","0","0","5","7","0","2","8","1","3","7","ندارد","دیپلم","36","104","0","0","140","هیچ کدام","شغل",,"1393/06/01"
"28","فرهنگ و هنر","صنایع دستی(بافت)","ماشته باف","7318-75-013-1","1","0","0","0","3","1","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","37","83","0","0","120","هیچ کدام","شغل",,"1393/11/01"
"29","فرهنگ و هنر","صنایع دستی(بافت)","متكازين باف","7318-75-017-1","1","0","0","0","7","1","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","95","230","0","0","325","هیچ کدام","شغل",,"1393/11/01"
"30","فرهنگ و هنر","صنایع دستی(بافت)","موج باف","7318-75-008-1","1","0","0","0","8","0","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","29","96","0","0","125","هیچ کدام","شغل",,"1393/06/01"
"31","فرهنگ و هنر","صنایع دستی(بافت)","نخ ريس سنتي","7-51/41/1/1","1","0","0","0","6","4","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","25","76","0","0","101","هیچ کدام","شغل",,"1390/09/01"
"32","فرهنگ و هنر","صنایع دستی(بافت)","نمد مال سنتي","7318-75-018-1","1","0","0","0","8","1","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","30","108","0","0","138","هیچ کدام","شغل",,"1393/11/01"
"33","فرهنگ و هنر","صنایع دستی(بافت)","پلاس باف","7318-75-006-1","1","0","0","0","6","0","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","50","120","0","0","170","هیچ کدام","شغل",,"1393/06/01"
"34","فرهنگ و هنر","صنایع دستی(بافت)","پشتي دوز","7318-75-007-1","1","0","0","0","7","0","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","35","85","0","0","120","هیچ کدام","شغل",,"1393/06/01"
"35","فرهنگ و هنر","صنایع دستی(بافت)","سجاده باف","7318-75-009-1","1","0","0","0","9","0","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","30","95","0","0","125","هیچ کدام","شغل",,"1393/06/01"
"36","فرهنگ و هنر","صنایع دستی(بافت)","سازنده مبلمان خلیجي","7318-75-022-1","1","0","0","0","2","2","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","22","106","0","0","128","هیچ کدام","شغل",,"1394/07/11"
"37","فرهنگ و هنر","صنایع دستی(بافت)","سازنده تولیدات نمدي دست دوز","7318-75-026-1","1","0","0","0","6","2","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","44","142","0","0","186","هیچ کدام","شغل",,"1394/05/01"
"38","فرهنگ و هنر","صنایع دستی(بافت)","شال باف","7318-75-014-1","1","0","0","0","4","1","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","25","70","0","0","95","هیچ کدام","شغل",,"1393/11/01"
"39","فرهنگ و هنر","صنایع دستی(بافت)","شمد باف","7318-75-003-1","1","0","0","0","3","0","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","47","84","0","0","131","هیچ کدام","شغل",,"1393/06/01"
"40","فرهنگ و هنر","صنایع دستی(بافت)","بافنده شبه قالي ( فرشینه )","7318-75-031-1","1","0","0","0","1","3","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","29","109","0","0","138","هیچ کدام","شغل",,"1394/07/12"
"41","فرهنگ و هنر","صنایع دستی(بافت)","سوزن باف مقدماتي","7318-75-027-1","1","0","0","0","7","2","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","22","82","0","0","104","هیچ کدام","شغل",,"1394/05/01"
"42","فرهنگ و هنر","صنایع دستی(بافت)","سوزن باف گلها و حشرات","7318-75-023-1","1","0","0","0","3","2","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","15","86","0","0","101","هیچ کدام","شغل",,"1394/04/01"
"43","فرهنگ و هنر","صنایع دستی(بافت)","سوزن باف پيشرفته","7318-75-024-1","1","0","0","0","4","2","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","18","93","0","0","111","هیچ کدام","شغل",,"1394/04/01"
"44","فرهنگ و هنر","صنایع دستی(بافت)","تركه باف ( مروار باف ، ارغوان باف و ... )","7317-75-003-1","1","0","0","0","3","0","0","5","7","0","2","7","1","3","7","ندارد","پایان دوره راهنمایی","44","182","0","0","226","هیچ کدام","شغل",,"1393/10/01"
"45","فرهنگ و هنر","صنایع دستی(بافت)","تونسي باف","7318-75-032-1","1","0","0","0","2","3","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره متوسط اول (راهنمایی)","61","104","0","0","165","هیچ کدام","شغل",,"1394/07/01"
"46","فرهنگ و هنر","صنایع دستی(بافت)","زري باف","7318-75-015-1","1","0","0","0","5","1","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","52","157","0","0","209","هیچ کدام","شغل",,"1393/11/01"
"47","فرهنگ و هنر","صنایع دستی(بافت)","زیلوباف","7318-75-020-1","1","0","0","0","0","2","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","75","174","0","0","249","هیچ کدام","شغل",,"1393/11/01"
"48","فرهنگ و هنر","صنایع دستی(بافت)","بافنده ترکیبی قالی و گلیم","7-54/61/1/1","1","0","0","0","0","1","0","5","7","0","2","8","1","3","7","قالي باف درجه2- گليم باف درجه2","ديپلم","100","200","0","0","300","هیچ کدام","شغل",,"1390/09/01"
"49","فرهنگ و هنر","صنایع دستی(بافت)","بافنده نوبافته های ترکیبی","7218-75-041-1","1","0","0","0","1","4","0","5","7","0","2","8","1","3","7","ندارد","دیپلم – پایان دوره دوم متوسطه","61","84","0","0","145","هیچ کدام","شغل",,"1394/09/01"
"50","فرهنگ و هنر","صنایع دستی(بافت)","جاجيم باف","7-55/33/1/3","1","0","0","0","2","4","0","5","7","0","2","8","1","3","7",,,"71","199","0","0","270","هیچ کدام","شغل",,"1388/01/01"
"51","فرهنگ و هنر","صنایع دستی(بافت)","حصير باف بومي جنوب","7317-75-004-1","1","1","0","0","4","0","0","5","7","0","2","7","1","3","7","ندارد","پایان دوره اول ابتدایی","31","62","0","0","93","هیچ کدام","شایستگی",,"1394/08/15"
"52","فرهنگ و هنر","صنایع دستی(بافت)","حصيرباف","9-42/27/1/3","1","0","0","0","4","0","0","5","7","0","2","7","1","3","7","ندارد","پایان دوره راهنمایی","48","202","0","0","250","هیچ کدام","شغل",,"1388/01/01"
"53","فرهنگ و هنر","صنایع دستی(بافت)","سازنده محصولات نمدي مدرن","7318-75-043-1","1","0","0","0","3","4","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","27","107","0","0","134","هیچ کدام","شغل",,"1395/05/01"
"54","فرهنگ و هنر","صنایع دستی(بافت)","طراح نقشه گليم","1-62/94/1/2","1","0","0","0","8","4","0","5","7","0","2","8","1","3","7","ندارد","دیپلم","42","223","0","0","265","هیچ کدام","شغل",,"1388/01/01"
"55","فرهنگ و هنر","صنایع دستی(بافت)","قلاب باف پوشاك خردسال","7318-75-036-1","1","0","0","0","6","3","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره اول متوسطه","151","287","0","0","438","هیچ کدام","شغل",,"1394/09/01"
"56","فرهنگ و هنر","صنایع دستی(بافت)","قلاب باف پوشاك","7318-75-035-1","1","0","0","0","5","3","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","56","161","0","0","217","هیچ کدام","شغل","Crocheted clothing","1396/02/19"
"57","فرهنگ و هنر","صنایع دستی(بافت)","قلاب باف لوازم تزئيني و كاربردي","7318-75-039-1","1","0","0","0","9","3","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره اول متوسطه","132","216","0","0","348","هیچ کدام","شغل",,"1394/09/01"
"58","فرهنگ و هنر","صنایع دستی(بافت)","كپوباف","9-42/29/1/2","1","0","0","0","5","0","0","5","7","0","2","7","1","3","7","ندارد","پایان دوره راهنمایی","14","56","0","0","70","هیچ کدام","شغل",,"1383/10/01"
"59","فرهنگ و هنر","صنایع دستی(بافت)","کیف باف","7318-75-037-1","1","0","0","0","7","3","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره متوسطه اول","140","157","0","0","297","هیچ کدام","شغل",,"1394/06/01"
"60","فرهنگ و هنر","صنایع دستی(بافت)","گيپور باف","7-59/42/1/3","1","0","0","0","4","4","0","5","7","0","2","8","1","3","7",,,"42","108","0","0","150","هیچ کدام","شغل",,"1387/01/01"
"61","فرهنگ و هنر","صنایع دستی(بافت)","مكرمه باف","7-59/31/1/3","1","0","0","0","7","4","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","80","290","0","0","370","هیچ کدام","شغل",,"1387/01/01"
"62","فرهنگ و هنر","صنایع دستی(بافت)","شك و زري باف","7-95/79/1/1","1","0","0","0","0","5","0","5","7","0","2","8","1","3","7","ندارد","پايان دوره ابتدايي","89","391","0","0","480","هیچ کدام","شغل",,"1390/04/01"
"63","فرهنگ و هنر","صنایع دستی(بافت)","گلیم باف خاص افراد با نیازهای ویژه","7-54/54/3/2","1","0","0","0","4","3","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","56","261","0","0","317","هیچ کدام","شغل",,"1377/08/01"
"64","فرهنگ و هنر","صنایع دستی(بافت)","مروارید باف","7-55/94/1/2","1","0","0","0","2","5","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","21","161","0","0","182","هیچ کدام","شغل",,"1371/05/01"
"65","فرهنگ و هنر","صنایع دستی(بافت)","گيوه دوز","7-59/21/1/1","1","0","0","0","5","4","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","29","56","0","0","85","هیچ کدام","شغل",,"1390/09/01"
"66","فرهنگ و هنر","صنایع دستی(بافت)","کارت باف (نوارباف)","8-99/93/1/2","1","0","0","0","9","4","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","40","80","0","0","120","هیچ کدام","شغل",,"1381/02/01"
"67","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","اپراتور انفورماتیک اطلاعات آبخیزداری","3143/11/1","1","0","0","0","9","0","0","1","7","0","4","3","3","1","2","Icdl  درجه2","كارداني","52","83","0","0","135","هیچ کدام","شغل",,"1390/06/01"
"68","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","ارزیاب الوار درجنگل","6210/2/1","1","0","0","0","8","1","0","1","7","0","3","3","4","1","3","-","فوق ديپلم جنگلداري","37","97","0","0","134","هیچ کدام","شغل",,"1390/05/01"
